Synonym,Original_drug
4-Ethoxycarbonyl-alpha alpha 4-triphenyl-1-piperidinebutyronitrile,Diphenoxylate
Difenossilato,Diphenoxylate
Difenoxilato,Diphenoxylate
Diphenoxylatum,Diphenoxylate
Ethyl 1-(3-cyano-3 3-diphenylpropyl)-4-phenyl-4-piperidinecarboxylate,Diphenoxylate
Ethyl 1-(3-cyano-3 3-diphenylpropyl)-4-phenylisonipecotate,Diphenoxylate
2 4-diguanidino-3 5 6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside,Streptomycin
Estreptomicina,Streptomycin
Streptomicina,Streptomycin
Streptomyzin,Streptomycin
(-)-Tetrahydrolipstatin,Orlistat
Orlipastat,Orlistat
Orlipastatum,Orlistat
Tetrahydrolipstatin,Orlistat
1-(2-Ethoxy-ethyl)-2-(4-methyl-[1 4]diazepan-1-yl)-1H-benzoimidazole,Emedastine
1-(2-Ethoxyethyl)-2-(hexahydro-4-methyl-1H-1 4-diazepin-1-yl)benzimidazole,Emedastine
1-[2-(Ethoxy)ethyl]-2-(4-methyl-1-homopiperazinyl)benzimidazole,Emedastine
Emedastina,Emedastine
Emedastinum,Emedastine
(3S-cis)-3-Ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-2(3H)-furanone,Pilocarpine
(3S 4R)-3-Ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-2(3H)-furanone,Pilocarpine
Pilocarpine,Pilocarpine
4-aminobenzoic acid ethyl ester,Benzocaine
Amben ethyl ester,Benzocaine
Benzocaina,Benzocaine
Benzocaine,Benzocaine
Benzocainum,Benzocaine
Ethyl Aminobenzoate,Benzocaine
Ethyl p-Aminobenzoate,Benzocaine
Ethyl p-Aminophenylcarboxylate,Benzocaine
p-(Ethoxycarbonyl)aniline,Benzocaine
p-Carbethoxyaniline,Benzocaine
p-Ethoxycarboxylic Aniline,Benzocaine
6-Methoxy-8-(4-amino-1-methylbutylamino)quinoline,Primaquine
8-((4-Amino-1-methylbutyl)amino)-6-methoxyquinoline,Primaquine
8-(4-Amino-1-methylbutylamino)-6-methoxyquinoline,Primaquine
Neo-quipenyl,Primaquine
Primachin,Primaquine
Primachinum,Primaquine
Primaquin,Primaquine
Primaquina,Primaquine
Primaquinum,Primaquine
(3beta 16beta 17alpha 18beta 20alpha)-17-Methoxy-18-[(3 4 5-trimethoxybenzoyl)oxy]yohimban-16-carboxylic acid methyl ester,Deserpidine
11-demethoxyreserpine,Deserpidine
11-desmethoxyreserpine,Deserpidine
Canescine,Deserpidine
Deserpidina,Deserpidine
Deserpidine,Deserpidine
Deserpidinum,Deserpidine
Raunormine,Deserpidine
Recanescine,Deserpidine
Pentolineum,Pentolinium
Pentolonium,Pentolinium
Pentolonum,Pentolinium
(4-Tert-butyl-benzyl)-methyl-naphthalen-1-ylmethyl-amine,Butenafine
(4-Tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine,Butenafine
4-Tert-butylbenzyl(methyl)(1-naphthalenemethyl)amine,Butenafine
Butenafina,Butenafine
Butenafine,Butenafine
Butenafinum,Butenafine
N-(P-Tert-butylbenzyl)-N-methyl-1-naphthalenemethylamine,Butenafine
3-(Î±-L-rhamnopyranosyloxy)-1Î_ 5Î_ 11Î± 14 19-pentahydroxy-5Î_-card-20(22)-enolide,Ouabain
G-Strophanthin,Ouabain
Ouabagenin L-Rhamnoside,Ouabain
Ouabagenin-L-rhamnosid,Ouabain
Ouabain anhydrous,Ouabain
Ouabaine,Ouabain
Oubain,Ouabain
(CH3)2SO,Dimethyl sulfoxide
Dimethyl sulfoxide,Dimethyl sulfoxide
Dimethyl sulfur oxide,Dimethyl sulfoxide
Dimethyl sulphoxide,Dimethyl sulfoxide
Dimethyli sulfoxidum,Dimethyl sulfoxide
Dimethylsulfoxid,Dimethyl sulfoxide
Dimethylsulfoxyde,Dimethyl sulfoxide
Dimetil sulfoxido,Dimethyl sulfoxide
DMSO,Dimethyl sulfoxide
Methylsulfinylmethane,Dimethyl sulfoxide
S(O)Me2,Dimethyl sulfoxide
Sulfinylbis(methane),Dimethyl sulfoxide
(-)-(S)-Hesperetin,Hesperetin
(-)-Hesperetin,Hesperetin
(S)-2 3-dihydro-5 7-Dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one,Hesperetin
3' 5 7-Trihydroxy-4'-methoxyflavanone,Hesperetin
Cyanidanon 4'-Methyl Ether 1626,Hesperetin
Hesperetin,Hesperetin
Hesperitin,Hesperetin
YSO2,Hesperetin
fluvastatina,Fluvastatin
fluvastatine,Fluvastatin
fluvastatinum,Fluvastatin
Mansil,Oxamniquine
5-Methyl-N-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide,Leflunomide
5-Methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide,Leflunomide
alpha alpha alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-P-toluidide,Leflunomide
Leflunomida,Leflunomide
Leflunomide,Leflunomide
Leflunomidum,Leflunomide
Lefunomide,Leflunomide
(3R 5S 6e)-7-(4-(4-Fluorophenyl)-6-(1-methylethyl)-2-(ethyl(methylsulfonyl)amino)-5-pyrimidinyl)-3 5-dihydroxy-6-heptenoic acid,Rosuvastatin
(3R 5S 6e)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3 5-dihydroxyhept-6-enoic acid,Rosuvastatin
5-FC,Flucytosine
5-Fluorocystosine,Flucytosine
5-Fluorocytosin,Flucytosine
5-Fluorocytosine,Flucytosine
5-Flurocytosine,Flucytosine
Ancobon (tn),Flucytosine
Flucytosin,Flucytosine
Flucytosine,Flucytosine
Fluocytosine,Flucytosine
Fluorcytosine,Flucytosine
Pimozida,Pimozide
Pimozide,Pimozide
Pimozidum,Pimozide
(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1 2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester,Capecitabine
Capecitabin,Capecitabine
Capecitabina,Capecitabine
Capecitabinum,Capecitabine
Pentyl [1-(5-deoxy-beta-D-ribofuranosyl)-5-fluoro-2-oxo-1 2-dihydropyrimidin-4-yl]carbamate,Capecitabine
Pentyl 1-(5-deoxy-beta-D-ribofuranosyl)-5-fluoro-1 2-dihydro-2-oxo-4-pyrimidinecarbamate,Capecitabine
Arbutamina,Arbutamine
Arbutaminum,Arbutamine
2-methoxy-6-chloro-9-diethylaminopentylaminoacridine,Quinacrine
3-chloro-7-methoxy-9-(1-methyl-4-diethylaminobutylamino)acridine,Quinacrine
6-chloro-9-((4-(diethylamino)-1-methylbutyl)amino)-2-methoxyacridine,Quinacrine
Mepacrine,Quinacrine
N4-(6-chloro-2-methoxy-9-acridinyl)-N1 N1-diethyl-1 4-pentanediamine,Quinacrine
(+)-Sertraline,Sertraline
(1S-cis)-1 2 3 4-tetrahydro-4-(3 4-dichlorophenyl)-N-methyl-1-naphthalenamine,Sertraline
(1S 4S)-sertraline,Sertraline
cis-(+)-sertraline,Sertraline
Sertralina,Sertraline
Sertraline,Sertraline
Sertralinum,Sertraline
Butramin,Sibutramine
Sibutramina,Sibutramine
Sibutraminum,Sibutramine
Levocabastin,Levocabastine
Levocabastina,Levocabastine
Levocabastinum,Levocabastine
Methprylon,Methyprylon
Methyprolon,Methyprylon
Methyprylon,Methyprylon
Methyprylone,Methyprylon
Methyprylonum,Methyprylon
Metiprilon,Methyprylon
Metiprilona,Methyprylon
Metiprilone,Methyprylon
Trilostano,Trilostane
Trilostanum,Trilostane
Calciparine,Heparin
Eparina,Heparin
Heparinate,Heparin
Heparinic acid,Heparin
Liquaemin,Heparin
Panheprin,Heparin
Unfractionated heparin,Heparin
1-(2 4-Dichloro-beta-((2 4-dichlorobenzyl)oxy)phenethyl)imidazole,Miconazole
1-[2-(2 4-Dichloro-benzyloxy)-2-(2 4-dichloro-phenyl)-ethyl]-1H-imidazole,Miconazole
Daktarin iv,Miconazole
Miconazole,Miconazole
Monistat iv (tn),Miconazole
Colistin methanesulfonic acid,Colistimethate
Colistin sulfomethate,Colistimethate
Colistinmethanesulfonic acid,Colistimethate
(6R 7R)-3-[(Carbamoyloxy)methyl]-7-{[(2Z)-2-furan-2-yl-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefuroxime
Cefuroxim,Cefuroxime
Cefuroxime,Cefuroxime
Cefuroximo,Cefuroxime
Cefuroximum,Cefuroxime
Cephuroxime,Cefuroxime
Zinacef danmark,Cefuroxime
Mesotina,Papaverine
1-(p-chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane,Chlorphenamine
1-(p-chlorophenyl)-1-(2-pyridyl)-3-N N-dimethylpropylamine,Chlorphenamine
2-[p-chloro-Î±-[2-(dimethylamino)ethyl]benzyl]pyridine,Chlorphenamine
3-(p-chlorophenyl)-3-(2-pyridyl)-N N-dimethylpropylamine,Chlorphenamine
Chlorophenylpyridamine,Chlorphenamine
Chlorphenamin,Chlorphenamine
Chlorphenaminum,Chlorphenamine
Chlorpheniramine,Chlorphenamine
Chlorpheniramine polistirex,Chlorphenamine
Chlorpheniraminum,Chlorphenamine
Clorfenamina,Chlorphenamine
Clorfeniramina,Chlorphenamine
Î_-(4-chlorophenyl)-N N-dimethyl-2-pyridinepropanamine,Chlorphenamine
Î_-(4-chlorophenyl)-Î_-(2-pyridyl)propyldimethylamine,Chlorphenamine
4-(2'-Nitrophenyl)-2 6-dimethyl-1 4-dihydropyridin-3 5-dicarbonsaeuredimethylester,Nifedipine
Adapine,Nifedipine
Nifecard,Nifedipine
Nifecor,Nifedipine
Nifedipine,Nifedipine
Nifedipino,Nifedipine
Nifedipinum,Nifedipine
Nifedipres,Nifedipine
Thimethaphan,Trimethaphan
Trimetaphan,Trimethaphan
Trimetaphanum,Trimethaphan
Trimethaphan,Trimethaphan
2-(trans-4-(P-Chlorophenyl)cyclohexyl)-3-hydroxy-1 4-naphthoquinone,Atovaquone
Acuvel,Atovaquone
Wellvone,Atovaquone
2-Butyl-3-(3 5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran,Amiodarone
2-Butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3 5-diiodophenyl ketone,Amiodarone
2-N-Butyl-3' 5'-diiodo-4'-N-diethylaminoethoxy-3-benzoylbenzofuran,Amiodarone
Amiodarona,Amiodarone
Amiodarone,Amiodarone
Amiodaronum,Amiodarone
Diazossido,Diazoxide
Diazoxide,Diazoxide
Diazoxido,Diazoxide
Diazoxidum,Diazoxide
Eudemine,Diazoxide
1-(3-Azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea,Gliclazide
1-(Hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea,Gliclazide
Gliclazida,Gliclazide
Gliclazidum,Gliclazide
N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea,Gliclazide
Ambenonium,Ambenonium
Ambenonium base,Ambenonium
Ambenonum,Ambenonium
2 8-Diaminoacridine,Proflavine
3 6-acridinediamine,Proflavine
3 6-diaminoacridine,Proflavine
Diaminoacridine,Proflavine
Proflavin,Proflavine
Proflavina,Proflavine
Proflavine,Proflavine
Proflavinum,Proflavine
1-Butyl-3-(P-methylphenylsulfonyl)urea,Tolbutamide
1-Butyl-3-(P-tolylsulfonyl)urea,Tolbutamide
1-Butyl-3-tosylurea,Tolbutamide
1-P-Toluenesulfonyl-3-butylurea,Tolbutamide
3-(P-Tolyl-4-sulfonyl)-1-butylurea,Tolbutamide
N-(4-Methylbenzenesulfonyl)-n'-butylurea,Tolbutamide
N-(4-Methylphenylsulfonyl)-n'-butylurea,Tolbutamide
N-(P-Methylbenzenesulfonyl)-n'-butylurea,Tolbutamide
N-(Sulfonyl-P-methylbenzene)-n'-N-butylurea,Tolbutamide
N-Butyl-n'-(4-methylphenylsulfonyl)urea,Tolbutamide
N-Butyl-N'-(p-tolylsulfonyl)urea,Tolbutamide
N-Butyl-n'-P-toluenesulfonylurea,Tolbutamide
N-N-Butyl-n'-tosylurea,Tolbutamide
Orinase (tn),Tolbutamide
Tolbutamida,Tolbutamide
Tolbutamide,Tolbutamide
Tolbutamidum,Tolbutamide
Tolylsulfonylbutylurea,Tolbutamide
2-(4-Methoxyphenyl)-1H-indene-1 3(2H)-dione,Anisindione
2-(4-Methoxyphenyl)indan-1 3-dione,Anisindione
2-(P-Methoxyphenyl)-1 3-indandione,Anisindione
2-(P-Methoxyphenyl)indane-1 3-dione,Anisindione
2-P-Anisyl-1 3-indandione,Anisindione
2-Para-anisyl-1 3-indandione,Anisindione
Anisin indandione,Anisindione
Anisindiona,Anisindione
Anisindionum,Anisindione
(5alpha 17beta)-N-(2 5-Bis(trifluoromethyl)phenyl)-3-oxo-4-azaandrost-1-ene-17-carboxamide,Dutasteride
alpha alpha alpha Alpha' alpha' alpha'-hexafluoro-3-oxo-4-aza-5alpha-androst-1-ene-17beta-carboxy-2' 5'-xylidide,Dutasteride
(+-)-Econazole,Econazole
1-(2 4-Dichloro-beta-((P-chlorobenzyl)oxy)phenethyl)imidazole,Econazole
Econazole,Econazole
Econazole Nitrate,Econazole
Bicalutamida,Bicalutamide
Bicalutamide,Bicalutamide
Bicalutamidum,Bicalutamide
Clofezone,Rabeprazole
Rabeprazole,Rabeprazole
 N-(4-Chlorophenyl)-n'-(isopropyl)-imidodicarbonimidic diamide,Proguanil
1-(P-Chlorophenyl)-5-isopropylbiguanide,Proguanil
Chlorguanide,Proguanil
Chloroguanide,Proguanil
N-(4-Chlorophenyl)-n'-(isopropyl)-imidodicarbonimidic diamide,Proguanil
Proguanilum,Proguanil
(+-)-5-((4-(2-(5-Ethyl-2-pyridinyl)ethoxy)phenyl)methyl)-2 4-thiazolidinedione,Pioglitazone
5-{4-[2-(5-ethylpyridin-2-yl)ethoxy]benzyl}-1 3-thiazolidine-2 4-dione,Pioglitazone
Pioglitazona,Pioglitazone
Pioglitazone,Pioglitazone
Pioglitazonum,Pioglitazone
Acide tiludronique,Tiludronic acid
Acido tiludronico,Tiludronic acid
Acidum tiludronicum,Tiludronic acid
Tiludronate,Tiludronic acid
11-deoxycorticosterone pivalate,Desoxycorticosterone Pivalate
Deoxycorticosterone Pivalate,Desoxycorticosterone Pivalate
Deoxycorticosterone Trimethylacetate,Desoxycorticosterone Pivalate
Deoxycortolone Pivalate,Desoxycorticosterone Pivalate
Deoxycortone Pivalate,Desoxycorticosterone Pivalate
Deoxycortone Trimethylacetate,Desoxycorticosterone Pivalate
Desoxycorticosterone Trimethylacetate,Desoxycorticosterone Pivalate
Desoxycortone Pivalate,Desoxycorticosterone Pivalate
DOCP,Desoxycorticosterone Pivalate
DTMA,Desoxycorticosterone Pivalate
(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol,Carvedilol
Carvedilol,Carvedilol
Carvedilolum,Carvedilol
SKF 105517,Carvedilol
(-)-Ofloxacin,Levofloxacin
(3S)-(-)-9-Fluoro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-2 3-dihydro-7H-pyrido[1 2 3-de][1 4]benzoxazine-6-carboxylic acid,Levofloxacin
(S)-(-)-9-Fluoro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-2 3-dihydro-7H-pyrido[1 2 3-de][1 4]benzooxazine-6-carboxylic acid,Levofloxacin
(S)-9-Fluoro-2 3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-7H-pyrido(1 2 3-de)-1 4-benzoxazine-6-carboxylic acid,Levofloxacin
(S)-Ofloxacin,Levofloxacin
L-ofloxacin,Levofloxacin
Levofloxacine,Levofloxacin
Levofloxacino,Levofloxacin
Levofloxacinum,Levofloxacin
Ofloxacin S-(-)-form,Levofloxacin
1 2-Diphenyl-3 5-dioxo-4-(2-phenylsulfinylethyl)pyrazolidine,Sulfinpyrazone
1 2-Diphenyl-4-(2'-phenylsulfinethyl)-3 5-pyrazolidinedione,Sulfinpyrazone
4-(2-Benzenesulfinylethyl)-1 2-diphenylpyrazolidine-3 5-dione,Sulfinpyrazone
Sulfoxyphenylpyrazolidine,Sulfinpyrazone
(6R 7R)-3-(Acetoxymethyl)-8-oxo-7-{[(pyridin-4-ylsulfanyl)acetyl]amino}-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefapirin
Cefapirin,Cefapirin
Cefapirina,Cefapirin
Cefapirine,Cefapirin
Cefapirinum,Cefapirin
Cefaprin,Cefapirin
Cephapirin,Cefapirin
Cephapirine,Cefapirin
CEPR,Cefapirin
CDX,Cefadroxil
Cefadroxil anhydrous,Cefadroxil
Cefadroxilo,Cefadroxil
Cefadroxilum,Cefadroxil
Cephadroxil,Cefadroxil
D-Cefadroxil,Cefadroxil
Cidoxepin,Doxepin
Doxepin,Doxepin
Amifostina,Amifostine
Amifostinum,Amifostine
Aminopropylaminoethyl thiophosphate,Amifostine
1 3-disulfamoyl-4 5-dichlorobenzene,Diclofenamide
1 3-Disulfamyl-4 5-dichlorobenzene,Diclofenamide
3 4-Dichloro-5-sulfamylbenzenesulfonamide,Diclofenamide
4 5-Dichloro-1 3-benzenedisulfonamide,Diclofenamide
4 5-dichloro-1 3-disulfamoylbenzene,Diclofenamide
4 5-Dichloro-benzene-1 3-disulfonic acid diamide,Diclofenamide
4 5-dichloro-m-benzenedisulfonamide,Diclofenamide
4 5-DICHLOROBENZENE-1 3-disulfonamide,Diclofenamide
Dichlofenamide,Diclofenamide
Dichlorophenamide,Diclofenamide
Dichlorphenamide,Diclofenamide
Diclofenamida,Diclofenamide
Diclofenamide,Diclofenamide
Diclofenamidum,Diclofenamide
Aldesulfone,Sulfoxone
Aldesulphone,Sulfoxone
1-Methyl-4-hydroxypiperidine benzhydryl ether,Diphenylpyraline
1-Methyl-4-piperidyl benzhydryl ether,Diphenylpyraline
4-(Benzhydryloxy)-1-methylpiperidine,Diphenylpyraline
4-(Benzhydryloxy)-N-methylpiperidine,Diphenylpyraline
Difenilpiralina,Diphenylpyraline
Diphenylpyralamine,Diphenylpyraline
Diphenylpyralinum,Diphenylpyraline
(2S 5R 6R)-6-({[3-(2-chlorophenyl)-5-methylisoxazol-4-yl]carbonyl}amino)-3 3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,Cloxacillin
(3-(O-Chlorophenyl)-5-methyl-4-isoxazolyl)penicillin,Cloxacillin
6-(3-(O-Chlorophenyl)-5-methyl-4-isoxazolecarboxamido)penicillanic acid,Cloxacillin
Cloxacilina,Cloxacillin
Cloxacilline,Cloxacillin
Cloxacillinum,Cloxacillin
2-(1-Piperidinyl)ethyl 3-methyl-4-oxo-2-phenyl-4H-chromene-8-carboxylate,Flavoxate
2-Piperidinoethyl 3-methyl-4-oxo-2-phenyl-4H-1-benzopyran-8-carboxylate,Flavoxate
2-Piperidinoethyl 3-methylflavone-8-carboxylate,Flavoxate
beta-Piperidinoethyl 3-methylflavone-8-carboxylate,Flavoxate
Flavoxate,Flavoxate
Flavoxate HCI,Flavoxate
Flavoxato,Flavoxate
Flavoxatum,Flavoxate
1-(3-(4-(m-Chlorophenyl)-1-piperazinyl)propyl)-3-ethyl-4-(2-phenoxyethyl)-delta2-1 2 4-triazolin-5-one,Nefazodone
Nefazodona,Nefazodone
Nefazodone,Nefazodone
Nefazodonum,Nefazodone
Cefprozil anhydrous,Cefprozil
Cefprozilo,Cefprozil
Cefprozilum,Cefprozil
3-(10 11-DIHYDRO-5H-dibenzo[b F]azepin-5-yl)-N-methylpropan-1-amine,Desipramine
5-(gamma-Methylaminopropyl)iminodibenzyl,Desipramine
5-(Î_-methylaminopropyl)iminodibenzyl,Desipramine
DÃ©mÃ©thylimipramine,Desipramine
Desipramin,Desipramine
Desipramina,Desipramine
Desipramine,Desipramine
Desipraminum,Desipramine
Desmethylimipramine,Desipramine
DMI,Desipramine
Monodemethylimipramine,Desipramine
N-(3-methylaminopropyl)iminobibenzyl,Desipramine
Norimipramine,Desipramine
Candicidina,Candicidin
Candicidine,Candicidin
Candicidinum,Candicidin
Candizidin,Candicidin
Demofix,Sertaconazole
Sertaconazol,Sertaconazole
Sertaconazole,Sertaconazole
Sertaconazolum,Sertaconazole
5-Allyl-5-(1-methylbutyl)-2-thiobarbituric acid,Thiamylal
5-Allyl-5-(1-methylbutyl)-2-thioxodihydro-4 6(1H 5H)-pyrimidinedione,Thiamylal
5-Allyl-5-(1-methylbutyl)-2-thioxodihydropyrimidine-4 6(1H 5H)-dione,Thiamylal
dihydro-5-(1-Methylbutyl)-5-(2-propenyl)-2-thioxo-4 6(1H 5H)-pyrimidinedione,Thiamylal
Thiamylal,Thiamylal
Thioseconal,Thiamylal
Factiv,Gemifloxacin
Gemifloxacin mesilate,Gemifloxacin
gemifloxacin mesylate,Gemifloxacin
Amfebutamone,Bupropion
Trimetrexato,Trimetrexate
Trimetrexatum,Trimetrexate
(2-Bromobenzyl)ethyldimethylaminium,Bretylium
2-Bromo-N-ethyl-N N-dimethylbenzenemethanaminium,Bretylium
N-Ethyl-N N-dimethyl-2-bromobenzenemethanaminium,Bretylium
1-Bromo-1-chloro-2 2 2-trifluoroethane,Halothane
1 1 1-Trifluoro-2-bromo-2-chloroethane,Halothane
1 1 1-Trifluoro-2-chloro-2-bromoethane,Halothane
2-Bromo-2-Chloro-1 1 1-Trifluoroethane,Halothane
2 2 2-Trifluoro-1-chloro-1-bromoethane,Halothane
Bromochlorotrifluoroethane,Halothane
Ftorotan,Halothane
Halotano,Halothane
Halothane,Halothane
Halothanum,Halothane
Narcotane,Halothane
Phthorothanum,Halothane
Rhodialothan,Halothane
Dinoprost trometamol,Dinoprost Tromethamine
PGF2-alpha THAM,Dinoprost Tromethamine
PGF2alpha THAM,Dinoprost Tromethamine
Prostaglandin F2-alpha THAM,Dinoprost Tromethamine
Prostaglandin F2a tromethamine,Dinoprost Tromethamine
Prostaglandin F2alpha tham,Dinoprost Tromethamine
Prostin F2 Alpha,Dinoprost Tromethamine
2-Chloroprocaine,Chloroprocaine
4-amino-2-Chlorobenzoic acid 2-(diethylamino)ethyl ester,Chloroprocaine
Chloroprocain,Chloroprocaine
Chloroprocaine,Chloroprocaine
Chloroprocainum,Chloroprocaine
Chlorprocaine,Chloroprocaine
Cloroprocaina,Chloroprocaine
1-(4-Amino-6 7-dimethoxy-2-quinazolinyl)-4-((tetrahydro-2-furanyl)carbonyl)piperazine,Terazosin
Terazosina,Terazosin
Terazosine,Terazosin
TÃ©razosine,Terazosin
Terazosinum,Terazosin
Mecillinam,Amdinocillin
Penicillin HX,Amdinocillin
Calcium chloride anhydrous,Calcium Chloride
Calcium chloride  anhydrous,Calcium Chloride
calcium(2+) chloride,Calcium Chloride
8-Fluoro-3-methyl-9-(4-methyl-piperazin-1-yl)-6-oxo-2 3-dihydro-6H-1-oxa-3a-aza-phenalene-5-carboxylic acid,Ofloxacin
Ofloxacine,Ofloxacin
Ofloxacino,Ofloxacin
Ofloxacinum,Ofloxacin
OFLX,Ofloxacin
3 4-dihydro-6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-2(1H)-quinolinone,Cilostazol
6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3 4-dihydro-2(1H)-quinolinone,Cilostazol
6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3 4-dihydrocarbostyril,Cilostazol
6-[4-(1-Cyclohexyl-1H-tetrazol-5-yl)-butoxy]-3 4-dihydro-1H-quinolin-2-one,Cilostazol
Cilostazole,Cilostazol
Cilostazolum,Cilostazol
Itraconazol,Itraconazole
Itraconazole,Itraconazole
Itraconazolum,Itraconazole
Itrizole (tn),Itraconazole
Oriconazole,Itraconazole
Sporanox (tn),Itraconazole
1-Methyl-2-(p-(isopropylcarbamoyl)benzyl)hydrazine,Procarbazine
2-(p-Isopropylcarbamoylbenzyl)-1-methylhydrazine,Procarbazine
4-((2-Methylhydrazino)methyl)-N-isopropylbenzamide,Procarbazine
N-(1-Methylethyl)-4-((2-methylhydrazino)methyl)benzamide,Procarbazine
N-4-Isopropylcarbamoylbenzyl-N'-methylhydrazine,Procarbazine
N-isopropyl-4-[(2-methylhydrazino)methyl]benzamide,Procarbazine
N-Isopropyl-p-(2-methylhydrazinomethyl)-benzamide,Procarbazine
N-Isopropyl-Î±-(2-methylhydrazino)-p-toluamide,Procarbazine
p-(2-Methylhydrazinomethyl)-N-isopropylbenzamide,Procarbazine
Procarbazin,Procarbazine
Procarbazina,Procarbazine
Procarbazinum,Procarbazine
Acide Arsenieux,Arsenic trioxide
Anhydride Arsenieux,Arsenic trioxide
Arsenic Blanc,Arsenic trioxide
Arsenic oxide,Arsenic trioxide
Arsenic(III) oxide,Arsenic trioxide
Arsenigen Saure,Arsenic trioxide
Arsenolite,Arsenic trioxide
Arsenous oxide,Arsenic trioxide
Arsenous oxide anhydride,Arsenic trioxide
Diarsenic oxide,Arsenic trioxide
Diarsenic trioxide,Arsenic trioxide
White arsenic,Arsenic trioxide
(2-(hexahydro-1(2h)-azocinyl)ethyl)guanidine,Guanethidine
(2-(Octahydro-1-azocinyl)ethyl)guanidine,Guanethidine
2-(1-N N-Heptamethyleneimino)ethylguanidine,Guanethidine
2-(1'-Azacyclooctyl)ethylguanidine,Guanethidine
Azocine  1-(2-guanidinoethyl)octahydro-,Guanethidine
guanÃ©thidine,Guanethidine
guanethidinum,Guanethidine
guanetidina,Guanethidine
Guanidine  (2-(hexahydro-1(2H)-azocinyl)ethyl)-,Guanethidine
Heptamethylenimine  1-(2-guanidinoethyl)-,Guanethidine
N-(2-Perhydroazocin-1-ylethyl)guanidine,Guanethidine
4-Chlor-N-(2-morpholinoethyl)benzamid,Moclobemide
4-Chloro-N-(2-(4-morpholinyl)ethyl)benzamide,Moclobemide
4-Chloro-N-(2-morpholin-4-yl-ethyl)-benzamide,Moclobemide
Aurorix,Moclobemide
Moclaime,Moclobemide
Moclamide,Moclobemide
Moclamine,Moclobemide
Moclobemid,Moclobemide
Moclobemida,Moclobemide
Moclobemide,Moclobemide
Moclobemidum,Moclobemide
p-Chloro-N-(2-morpholinoethyl)benzamide,Moclobemide
4 6-diamino-2-hydroxy-1 3-cyclohexane 3 6'diamino-3 6'-dideoxydi-Î±-D-glucoside,Kanamycin
4 6-diamino-2-hydroxy-1 3-cyclohexylene 3 6'-diamino-3 6'-dideoxydi-D-glucopyranoside,Kanamycin
Kanamycin A,Kanamycin
2-(phenyl-o-tolylmethoxy)ethyldimethylamine,Orphenadrine
2-methyldiphenhydramine,Orphenadrine
beta-Dimethylaminoethyl 2-methylbenzhydryl ether,Orphenadrine
Dimethyl-[2-(phenyl-O-tolyl-methoxy)-ethyl]-amine,Orphenadrine
N N-Dimethyl-2-(alpha-2-tolylbenzoyloxy)ethylamine,Orphenadrine
N N-Dimethyl-2-(phenyl(O-tolyl)methoxy)ethanamine,Orphenadrine
N N-Dimethyl-2-[(O-methyl-alpha-phenylbenzyl)oxy]ethylamine,Orphenadrine
o-methyldiphenhydramine,Orphenadrine
o-monomethyldiphenhydramine,Orphenadrine
Orfenadrina,Orphenadrine
ORPHENADRINE,Orphenadrine
Orphenadrinum,Orphenadrine
Phenyl-O-tolylmethyl dimethyaminoethyl ether,Orphenadrine
Î_-dimethylaminoethyl 2-methylbenzhydryl ether,Orphenadrine
5-ethyl-5-phenyl-2 4 6(1H 3H 5H)-pyrimidinetrione,Phenobarbital
